Title;Price;Image;Link
G.Skill F4-3200C16D-16GIS Aegis DDR4 16 GB PC 3200 CL16 KIT (2 x 8 GB);49,77 €;https://m.media-amazon.com/images/I/61vGzvadCTL._AC_UL320_.jpg;https://www.amazon.fr/G-Skill-F4-3200C16D-16GIS-Aegis-DDR4-3200/dp/B07YV61K16/ref=sr_1_21?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=INXW8WWGX0NU&keywords=ram&qid=1697278697&sprefix=ram%2Caps%2C131&sr=8-21
Mémoire RAM 16Go Kit (2x8Go) DDR3 1866MHz CL13 DIMM Wlizedle Module de Mémoire PC3-14900 240-Pin 1.5V pour Ordinateur de Bureau，Noir;27,99 €;https://m.media-amazon.com/images/I/613lr+8KfDL._AC_UL320_.jpg;https://www.amazon.fr/Wlizedle-barrettes-m%C3%A9moire-PC3-14900-ordinateur/dp/B0B8CM62KQ/ref=sr_1_22?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=INXW8WWGX0NU&keywords=ram&qid=1697278697&sprefix=ram%2Caps%2C131&sr=8-22
Netac Shadow RAM DDR4 16Go (2×8Go) 3200MHz Cl16 XMP 2.0 Haute Performance pour PC de Bureau (Noir);35,99 €;https://m.media-amazon.com/images/I/61l6wrvExlL._AC_UL320_.jpg;https://www.amazon.fr/Netac-Shadow-2%C3%978go-3200MHz-Desktop/dp/B0BC1T5Z26/ref=sr_1_23?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=INXW8WWGX0NU&keywords=ram&qid=1697278697&sprefix=ram%2Caps%2C131&sr=8-23
Corsair CML16GX3M2A1600C9 Vengeance LP 16GB (2x8GB) DDR3 1600 Mhz CL9 Mémoire pour ordinateur de bureau performante avec profil XMP. Noir;101,85 €;https://m.media-amazon.com/images/I/51pG+puhkNL._AC_UL320_.jpg;https://www.amazon.fr/Corsair-CML16GX3M2A1600C9-Vengeance-ordinateur-performante/dp/B009YOJZ5E/ref=sr_1_24_mod_primary_new?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=INXW8WWGX0NU&keywords=ram&qid=1697278697&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ram%2Caps%2C131&sr=8-24
Corsair Vengeance RGB Pro 16GB (2x8GB) 3600MHz C18 - Noir;66,24 €;https://m.media-amazon.com/images/I/71e6YWJio-L._AC_UL320_.jpg;https://www.amazon.fr/Corsair-Vengeance-16GB-2x8GB-3600MHz/dp/B07TB3R9JB/ref=sr_1_25?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=INXW8WWGX0NU&keywords=ram&qid=1697278697&sprefix=ram%2Caps%2C131&sr=8-25
【DDR3 RAM】 Gigastone RAM de Bureau 16Go (2x8Go) DDR3-1600MHz PC3-12800 Unbuffered Non-ECC 1.5V CL11 UDIMM 240-Pin Mémoire (Ordinateur de Bureau Uniquement);35,99 €;https://m.media-amazon.com/images/I/61-2wZ0C8qL._AC_UL320_.jpg;https://www.amazon.fr/Gigastone-PC3-12800-Unbuffered-Ordinateur-Lordinateur/dp/B08KGNSB5N/ref=sr_1_26?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=INXW8WWGX0NU&keywords=ram&qid=1697278697&sprefix=ram%2Caps%2C131&sr=8-26
Corsair Vengeance LPX 16Go (2x8Go) DDR4 3200MHz C16 XMP 2.0 Kit de Mémoire Haute Performance pour AMD Ryzen - Noir;39,99 €;https://m.media-amazon.com/images/I/612Zs2YwwdL._AC_UL320_.jpg;https://www.amazon.fr/Corsair-Vengeance-3200MHz-M%C3%A9moire-Performance/dp/B072LX99L9/ref=sr_1_27?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=INXW8WWGX0NU&keywords=ram&qid=1697278697&sprefix=ram%2Caps%2C131&sr=8-27
G.Skill Ripjaws F4-3200C22S-16GRS Module de mémoire 16 Go 1 x 16 Go DDR4 3200 MHz;45,00 €;https://m.media-amazon.com/images/I/61VVU+4nakS._AC_UL320_.jpg;https://www.amazon.fr/G-Skill-Ripjaws-F4-3200C22S-16GRS-Module-m%C3%A9moire/dp/B08HDNW9V5/ref=sr_1_28?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=INXW8WWGX0NU&keywords=ram&qid=1697278697&sprefix=ram%2Caps%2C131&sr=8-28
Timetec 16 Go KIT (2x8Go) DDR3L/DDR3 1600MHz PC3L-12800/PC3-12800 Non-ECC sans Tampon 1.35V/1.5V CL11 2Rx8 Double Rang 240 Broches UDIMM Ordinateur de Bureau mémoire RAM Module Mise à Niveau;25,99 €;https://m.media-amazon.com/images/I/61SbFpvqiXL._AC_UL320_.jpg;https://www.amazon.fr/Timetec-1600MHz-PC3-12800-Unbuffered-Non-ECC/dp/B01N7WGQBX/ref=sr_1_29?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=INXW8WWGX0NU&keywords=ram&qid=1697278697&sprefix=ram%2Caps%2C131&sr=8-29
G.Skill Trident Z RGB Series, DDR4-3200, CL 16-16 GB Dual-Kit;No Price Found;https://m.media-amazon.com/images/I/61l4EStxhnL._AC_UL320_.jpg;https://www.amazon.fr/G-Skill-F4-3200C16D-16GTZR-M%C3%A9moire-RAM-DDR4/dp/B01MTDEYHU/ref=sr_1_30?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=INXW8WWGX0NU&keywords=ram&qid=1697278697&sprefix=ram%2Caps%2C131&sr=8-30
